Date,Open,High,Low,Close,Adj Close,Volume
30/04/2021,101.330002,102.300003,100,100.160004,100.160004,1080500
03/05/2021,100.970001,101.190002,98.650002,99.370003,99.370003,1026600
04/05/2021,98.919998,99.230003,96.489998,96.790001,96.790001,1378500
05/05/2021,97.690002,98.07,97.220001,97.629997,97.629997,972100
06/05/2021,98.18,98.269997,97.059998,97.75,97.75,826100
07/05/2021,97,97.949997,96.739998,97.040001,97.040001,878500
10/05/2021,99.25,99.489998,97.209999,97.400002,97.400002,1045800
11/05/2021,95.550003,96.220001,94.43,96.050003,96.050003,976200
12/05/2021,95.139999,95.32,92.839996,93.050003,93.050003,1099200
13/05/2021,92.18,93.360001,91.75,92.970001,92.970001,1241900
14/05/2021,93.669998,94.300003,93.110001,94.150002,94.150002,696700
17/05/2021,94.269997,94.629997,93.470001,93.919998,93.919998,662600
18/05/2021,94.160004,96.089996,94.160004,95,95,912400
19/05/2021,94.529999,95.379997,93.830002,95.309998,95.309998,534400
20/05/2021,95.989998,97.300003,95.989998,96.900002,96.900002,518700
21/05/2021,97.32,97.440002,96.360001,96.379997,96.379997,491900
24/05/2021,96.839996,97,96.57,96.779999,96.779999,380400
25/05/2021,98.510002,98.790001,97.919998,98.349998,98.349998,895500
26/05/2021,98.470001,99.470001,98.410004,98.419998,98.419998,577800
27/05/2021,99.199997,99.790001,98.489998,99.57,99.57,549700
28/05/2021,100.089996,100.529999,99.5,99.610001,99.610001,425600
01/06/2021,99.860001,99.860001,98.800003,99.18,99.18,546900
02/06/2021,98.730003,98.970001,97.589996,98.059998,98.059998,545100
03/06/2021,97.769997,99.309998,97.099998,98.75,98.75,754700
04/06/2021,99.709999,101.050003,99.580002,100.690002,100.690002,891400
07/06/2021,99.699997,100.309998,99.620003,100.150002,100.150002,1206100
08/06/2021,100.279999,100.650002,99.349998,99.610001,99.610001,959800
09/06/2021,98.620003,98.830002,97.610001,97.720001,97.720001,515600
10/06/2021,98.07,98.800003,97.839996,98.599998,98.599998,569400
